check,panel,drug,item,passed
finite positive IC50,fig5_mutants,Cefepime,selb,True
finite positive MIC,fig5_mutants,Cefepime,selb,True
expected unique culture IDs,fig5_mutants,Cefepime,rpoz,True
finite positive IC50,fig5_mutants,Cefepime,rpoz,True
finite positive MIC,fig5_mutants,Cefepime,rpoz,True
expected unique culture IDs,fig5_mutants,Cefepime,ftsh,True
finite positive IC50,fig5_mutants,Cefepime,ftsh,True
finite positive MIC,fig5_mutants,Cefepime,ftsh,True
expected unique culture IDs,fig5_mutants,Cefepime,fime,True
finite positive IC50,fig5_mutants,Cefepime,fime,True
finite positive MIC,fig5_mutants,Cefepime,fime,True
PLAC7/PLAC10 absent from experiment 1,Figure 3b-d,,,True
experiment-2 cefepime failures excluded (incl. ATEC-C-r1),Supplementary Figure 4b-d,,,True
experiment-2 levofloxacin/amikacin data retained for those cultures,Supplementary Figure 4b-d,,,True
unique culture IDs,Figure 2b-d,Levofloxacin,P,True
unique culture IDs,Figure 2b-d,Levofloxacin,PA,True
unique culture IDs,Figure 2b-d,Levofloxacin,PC,True
unique culture IDs,Figure 2b-d,Levofloxacin,PL,True
complete IC50 pairs,Figure 2b-d,Levofloxacin,P-PA,True
complete MIC pairs,Figure 2b-d,Levofloxacin,P-PA,True
complete IC50 pairs,Figure 2b-d,Levofloxacin,P-PC,True
complete MIC pairs,Figure 2b-d,Levofloxacin,P-PC,True
complete IC50 pairs,Figure 2b-d,Levofloxacin,P-PL,True
complete MIC pairs,Figure 2b-d,Levofloxacin,P-PL,True
unique culture IDs,Figure 2b-d,Amikacin,P,True
unique culture IDs,Figure 2b-d,Amikacin,PA,True
unique culture IDs,Figure 2b-d,Amikacin,PC,True
unique culture IDs,Figure 2b-d,Amikacin,PL,True
complete IC50 pairs,Figure 2b-d,Amikacin,P-PA,True
complete MIC pairs,Figure 2b-d,Amikacin,P-PA,True
complete IC50 pairs,Figure 2b-d,Amikacin,P-PC,True
complete MIC pairs,Figure 2b-d,Amikacin,P-PC,True
complete IC50 pairs,Figure 2b-d,Amikacin,P-PL,True
complete MIC pairs,Figure 2b-d,Amikacin,P-PL,True
unique culture IDs,Figure 2b-d,Cefepime,P,True
unique culture IDs,Figure 2b-d,Cefepime,PA,True
unique culture IDs,Figure 2b-d,Cefepime,PC,True
unique culture IDs,Figure 2b-d,Cefepime,PL,True
complete IC50 pairs,Figure 2b-d,Cefepime,P-PA,True
complete MIC pairs,Figure 2b-d,Cefepime,P-PA,True
complete IC50 pairs,Figure 2b-d,Cefepime,P-PC,True
complete MIC pairs,Figure 2b-d,Cefepime,P-PC,True
complete IC50 pairs,Figure 2b-d,Cefepime,P-PL,True
complete MIC pairs,Figure 2b-d,Cefepime,P-PL,True
unique culture IDs,Figure 3b-d,Levofloxacin,P,True
unique culture IDs,Figure 3b-d,Levofloxacin,PL,True
unique culture IDs,Figure 3b-d,Levofloxacin,PLA,True
unique culture IDs,Figure 3b-d,Levofloxacin,PLAC,True
complete IC50 pairs,Figure 3b-d,Levofloxacin,P-PL,True
complete MIC pairs,Figure 3b-d,Levofloxacin,P-PL,True
complete IC50 pairs,Figure 3b-d,Levofloxacin,P-PLA,True
complete MIC pairs,Figure 3b-d,Levofloxacin,P-PLA,True
complete IC50 pairs,Figure 3b-d,Levofloxacin,P-PLAC,True
complete MIC pairs,Figure 3b-d,Levofloxacin,P-PLAC,True
complete IC50 pairs,Figure 3b-d,Levofloxacin,PL-PLA,True
complete MIC pairs,Figure 3b-d,Levofloxacin,PL-PLA,True
complete IC50 pairs,Figure 3b-d,Levofloxacin,PL-PLAC,True
complete MIC pairs,Figure 3b-d,Levofloxacin,PL-PLAC,True
complete IC50 pairs,Figure 3b-d,Levofloxacin,PLA-PLAC,True
complete MIC pairs,Figure 3b-d,Levofloxacin,PLA-PLAC,True
unique culture IDs,Figure 3b-d,Amikacin,P,True
unique culture IDs,Figure 3b-d,Amikacin,PL,True
unique culture IDs,Figure 3b-d,Amikacin,PLA,True
unique culture IDs,Figure 3b-d,Amikacin,PLAC,True
complete IC50 pairs,Figure 3b-d,Amikacin,P-PL,True
complete MIC pairs,Figure 3b-d,Amikacin,P-PL,True
complete IC50 pairs,Figure 3b-d,Amikacin,P-PLA,True
complete MIC pairs,Figure 3b-d,Amikacin,P-PLA,True
complete IC50 pairs,Figure 3b-d,Amikacin,P-PLAC,True
complete MIC pairs,Figure 3b-d,Amikacin,P-PLAC,True
complete IC50 pairs,Figure 3b-d,Amikacin,PL-PLA,True
complete MIC pairs,Figure 3b-d,Amikacin,PL-PLA,True
complete IC50 pairs,Figure 3b-d,Amikacin,PL-PLAC,True
complete MIC pairs,Figure 3b-d,Amikacin,PL-PLAC,True
complete IC50 pairs,Figure 3b-d,Amikacin,PLA-PLAC,True
complete MIC pairs,Figure 3b-d,Amikacin,PLA-PLAC,True
unique culture IDs,Figure 3b-d,Cefepime,P,True
unique culture IDs,Figure 3b-d,Cefepime,PL,True
unique culture IDs,Figure 3b-d,Cefepime,PLA,True
unique culture IDs,Figure 3b-d,Cefepime,PLAC,True
complete IC50 pairs,Figure 3b-d,Cefepime,P-PL,True
complete MIC pairs,Figure 3b-d,Cefepime,P-PL,True
complete IC50 pairs,Figure 3b-d,Cefepime,P-PLA,True
complete MIC pairs,Figure 3b-d,Cefepime,P-PLA,True
complete IC50 pairs,Figure 3b-d,Cefepime,P-PLAC,True
complete MIC pairs,Figure 3b-d,Cefepime,P-PLAC,True
complete IC50 pairs,Figure 3b-d,Cefepime,PL-PLA,True
complete MIC pairs,Figure 3b-d,Cefepime,PL-PLA,True
complete IC50 pairs,Figure 3b-d,Cefepime,PL-PLAC,True
complete MIC pairs,Figure 3b-d,Cefepime,PL-PLAC,True
complete IC50 pairs,Figure 3b-d,Cefepime,PLA-PLAC,True
complete MIC pairs,Figure 3b-d,Cefepime,PLA-PLAC,True
unique culture IDs,Supplementary Figure 3b-d,Levofloxacin,P,True
unique culture IDs,Supplementary Figure 3b-d,Levofloxacin,PCr,True
complete IC50 pairs,Supplementary Figure 3b-d,Levofloxacin,P-PCr,True
complete MIC pairs,Supplementary Figure 3b-d,Levofloxacin,P-PCr,True
unique culture IDs,Supplementary Figure 3b-d,Amikacin,P,True
unique culture IDs,Supplementary Figure 3b-d,Amikacin,PCr,True
complete IC50 pairs,Supplementary Figure 3b-d,Amikacin,P-PCr,True
complete MIC pairs,Supplementary Figure 3b-d,Amikacin,P-PCr,True
unique culture IDs,Supplementary Figure 3b-d,Cefepime,P,True
unique culture IDs,Supplementary Figure 3b-d,Cefepime,PCr,True
complete IC50 pairs,Supplementary Figure 3b-d,Cefepime,P-PCr,True
complete MIC pairs,Supplementary Figure 3b-d,Cefepime,P-PCr,True
unique culture IDs,Supplementary Figure 4b-d,Levofloxacin,ATEC,True
unique culture IDs,Supplementary Figure 4b-d,Levofloxacin,ATEC-C,True
unique culture IDs,Supplementary Figure 4b-d,Levofloxacin,ATEC-C-r,True
unique culture IDs,Supplementary Figure 4b-d,Amikacin,ATEC,True
unique culture IDs,Supplementary Figure 4b-d,Amikacin,ATEC-C,True
unique culture IDs,Supplementary Figure 4b-d,Amikacin,ATEC-C-r,True
unique culture IDs,Supplementary Figure 4b-d,Cefepime,ATEC,True
unique culture IDs,Supplementary Figure 4b-d,Cefepime,ATEC-C,True
unique culture IDs,Supplementary Figure 4b-d,Cefepime,ATEC-C-r,True
unique culture IDs,Supplementary Figure 6a-c,Levofloxacin,P,True
unique culture IDs,Supplementary Figure 6a-c,Levofloxacin,P-unt,True
complete IC50 pairs,Supplementary Figure 6a-c,Levofloxacin,P-P-unt,True
complete MIC pairs,Supplementary Figure 6a-c,Levofloxacin,P-P-unt,True
unique culture IDs,Supplementary Figure 6a-c,Amikacin,P,True
unique culture IDs,Supplementary Figure 6a-c,Amikacin,P-unt,True
complete IC50 pairs,Supplementary Figure 6a-c,Amikacin,P-P-unt,True
complete MIC pairs,Supplementary Figure 6a-c,Amikacin,P-P-unt,True
unique culture IDs,Supplementary Figure 6a-c,Cefepime,P,True
unique culture IDs,Supplementary Figure 6a-c,Cefepime,P-unt,True
complete IC50 pairs,Supplementary Figure 6a-c,Cefepime,P-P-unt,True
complete MIC pairs,Supplementary Figure 6a-c,Cefepime,P-P-unt,True
36 primary IC50 contrasts,,,,True
all primary results finite,,,,True
36 matched August comparisons,,,,True
