Culture,day,after,before,survival_percent,antibiotic
6,5,21499999.999999996,174999999.99999997,12.285714285714285,Levofloxacin
6,6,28499999.999999996,364999999.99999994,7.808219178082192,Levofloxacin
6,7,54999999.99999999,250000000.0,21.999999999999996,Levofloxacin
6,8,44999999.99999999,400000000.0,11.249999999999998,Levofloxacin
6,9,99999999.99999999,850000000.0,11.764705882352938,Levofloxacin
6,10,38499999.99999999,300000000.0,12.83333333333333,Levofloxacin
6,11,59999999.99999999,349999999.99999994,17.142857142857142,Levofloxacin
6,12,109999999.99999999,184999999.99999997,59.45945945945946,Levofloxacin
6,13,254999999.99999997,250000000.0,101.99999999999999,Levofloxacin
6,14,140000000.0,109999999.99999999,127.2727272727273,Levofloxacin
6,15,254999999.99999997,229999999.99999997,110.8695652173913,Levofloxacin
6,16,204999999.99999997,150000000.0,136.66666666666663,Levofloxacin
7,1,140000.0,219999999.99999997,0.06363636363636364,Levofloxacin
7,2,11500.0,204999999.99999997,0.005609756097560976,Levofloxacin
7,3,155000.0,350000000.0,0.04428571428571428,Levofloxacin
7,4,849999.9999999999,469999999.99999994,0.18085106382978722,Levofloxacin
7,5,399999.99999999994,124999999.99999999,0.31999999999999995,Levofloxacin
7,6,29999999.999999996,1100000000.0,2.7272727272727266,Levofloxacin
7,7,75000000.0,600000000.0,12.5,Levofloxacin
7,8,400000000.0,550000000.0,72.72727272727273,Levofloxacin
7,9,850000000.0,1200000000.0,70.83333333333333,Levofloxacin
7,10,254999999.99999997,1200000000.0,21.249999999999996,Levofloxacin
7,11,75000000.0,450000000.0,16.666666666666668,Levofloxacin
7,12,64999999.99999999,450000000.0,14.444444444444443,Levofloxacin
7,13,89999999.99999999,1250000000.0,7.199999999999998,Levofloxacin
7,14,15999999.999999998,340000000.0,4.705882352941176,Levofloxacin
7,15,150000000.0,900000000.0,16.666666666666668,Levofloxacin
7,16,85000000.0,950000000.0,8.947368421052632,Levofloxacin
8,1,12000.0,310000000.0,0.003870967741935484,Levofloxacin
8,2,11500.0,209999999.99999997,0.005476190476190477,Levofloxacin
8,3,14500.0,270000000.0,0.00537037037037037,Levofloxacin
8,4,1150000.0,250000000.0,0.46,Levofloxacin
8,5,1400000.0,204999999.99999997,0.6829268292682927,Levofloxacin
