Panel,also_shown_in,value,Antibiotic,contrast_id,Group1,Group2,n1,n2,n_pairs,geomean1,geomean2,ratio,ratio_lo,ratio_hi,test,interval_method,t,df,r_pairs,p,p_other_test,other_test,other_test_ids,p_raw_scale,p_exact,exact_test,fit_range_lo,fit_range_hi,fit_range_method,fit_resamples,fit_seed,p_excl_lineages_238,ratio_excl_lineages_238,p_holm,p_bh,p_bonferroni,p_holm_figure,p_holm_excl_238,k,p_other_test_holm,p_raw_scale_holm,p_exact_holm,sensitivity_family,significant
Figure 3b-d,Supplementary Figure 7,IC50,Amikacin,AMI:P-vs-PLAC,P,PLAC,10,10,10.0,2.988148518197365,7.799428830329953,2.6101208768013477,1.579117326731452,4.314265239312912,"paired t on log10, aligned on culture",paired log-ratio t interval,4.318754296175871,9.0,-0.009452426312724372,0.0019367025756196368,0.0010660118393464534,Welch,,0.010206533799515152,0.001953125,sign-flip,1.699435613742343,4.0010254657521305,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,0.030583292569336985,2.0829921320871025,0.00581010772685891,0.0029050538634294554,0.01162021545371782,0.01936702575619637,0.09174987770801096,6.0,0.0031980355180393602,0.02718406989433885,0.01171875,same panel and antibiotic as primary,True
Figure 3b-d,Supplementary Figure 7,MIC,Amikacin,AMI:P-vs-PLAC,P,PLAC,10,10,10.0,42.39528381723561,65.53414607616617,1.5457885919264343,0.6478232145337389,3.688448202106632,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3b-d,Supplementary Figure 7,IC50,Amikacin,AMI:PL-vs-PLA,PL,PLA,10,10,10.0,2.988545611188182,25.181628059639174,8.42604776228511,6.470962152604986,10.971827561026368,"paired t on log10, aligned on culture",paired log-ratio t interval,18.262663948969674,9.0,0.37468607892115013,2.020589248619626e-08,3.194651769020561e-11,Welch,,3.851861819644275e-06,0.001953125,sign-flip,6.66030758026122,10.404863599641198,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,9.199456532589454e-06,7.995195456693506,1.010294624309813e-07,6.061767745858879e-08,1.2123535491717757e-07,3.232942797791402e-07,4.599728266294727e-05,6.0,1.5973258845102806e-10,2.3111170917865652e-05,0.01171875,same panel and antibiotic as primary,True
Figure 3b-d,Supplementary Figure 7,MIC,Amikacin,AMI:PL-vs-PLA,PL,PLA,10,10,10.0,18.464675468349583,160.07504671310184,8.669258606114555,4.486492277445874,16.751626912969307,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3b-d,Supplementary Figure 7,IC50,Amikacin,AMI:PL-vs-PLAC,PL,PLAC,10,10,10.0,2.988545611188182,7.799428830329953,2.6097740657299404,1.4862074429639465,4.5827523650221735,"paired t on log10, aligned on culture",paired log-ratio t interval,3.8541135708657825,9.0,-0.14388093292652515,0.003881827128899778,0.0011566355368905653,Welch,,0.009061356631446284,0.009765625,sign-flip,1.6342610099638437,4.077580592564979,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,0.061180603085391395,2.0102087698421327,0.007763654257799556,0.004658192554679734,0.02329096277339867,0.031054617031198224,0.12236120617078279,6.0,0.0031980355180393602,0.02718406989433885,0.01953125,same panel and antibiotic as primary,True
Figure 3b-d,Supplementary Figure 7,MIC,Amikacin,AMI:PL-vs-PLAC,PL,PLAC,10,10,10.0,18.464675468349583,65.53414607616617,3.549163167719827,1.363427518403271,9.238891705699944,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3b-d,Supplementary Figure 7,IC50,Amikacin,AMI:PLA-vs-PLAC,PLA,PLAC,10,10,10.0,25.181628059639174,7.799428830329953,0.309726949022442,0.19438114737267,0.49351896646041843,"paired t on log10, aligned on culture",paired log-ratio t interval,-5.691270722926343,9.0,0.2431261230540179,0.00029758168178066783,0.00020619701552625512,Welch,,6.991898052316447e-05,0.001953125,sign-flip,0.2130318071295838,0.4511427952690516,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,0.0013707397263328768,0.25142709527622664,0.0011903267271226713,0.0005951633635613357,0.001785490090684007,0.003570980181368014,0.005482958905331507,6.0,0.0008247880621050205,0.0002796759220926579,0.01171875,same panel and antibiotic as primary,True
Figure 3b-d,Supplementary Figure 7,MIC,Amikacin,AMI:PLA-vs-PLAC,PLA,PLAC,10,10,10.0,160.07504671310184,65.53414607616617,0.4093963888926499,0.18905306086779763,0.8865521799488141,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3b-d,Supplementary Figure 7,IC50,Cefepime,CEF:P-vs-PL,P,PL,10,10,10.0,0.03818599205397341,0.07940924848136299,2.0795387054269323,1.5881223620519105,2.7230151345399727,"paired t on log10, aligned on culture",paired log-ratio t interval,6.143428642029867,9.0,-0.38543204287365035,0.00017006461770322225,4.026405702776753e-06,Welch,,0.0007005646910829917,0.001953125,sign-flip,1.680729958156399,2.7226041792976257,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,0.0005052943549745593,1.792509233368138,0.0010203877062193334,0.0010203877062193337,0.0010203877062193334,0.0022108400301418894,0.003031766129847356,6.0,2.4158434216660517e-05,0.00420338814649795,0.01171875,same panel and antibiotic as primary,True
Figure 3b-d,Supplementary Figure 7,MIC,Cefepime,CEF:P-vs-PL,P,PL,10,10,10.0,0.1522032837085734,0.5541861505315706,3.6410919464305485,2.4782746970816247,5.349508098506299,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
