Panel,Antibiotic,Group,value,cultures,values,n,geomean,lo,hi,min,max
Figure 2b-d,Cefepime,PC,IC50,"1,2,3,4,5,6,7,8,9,10",0.07417280716005543;0.07047600084750573;0.04872712995993276;0.07540441859751328;0.031131711456459717;0.06942133114071698;0.031665185014288146;0.12968426426949156;0.04888583670095269;0.09053623696093299,10,0.061342635849863186,0.04444109020974572,0.0846720671173753,0.03113171145645972,0.12968426426949156
Figure 2b-d,Cefepime,PC,MIC,"1,2,3,4,5,6,7,8,9,10",0.14203172643612602;0.1217631218765366;0.13924029008213587;0.11478144651592262;0.1077927745643726;0.4873618980673283;0.15224272571821526;0.7624708937949576;0.0943373999879399;0.6433005691934823,10,0.19997866443826315,0.11276103850367933,0.35465677472637464,0.09433739998793991,0.7624708937949576
Figure 2b-d,Cefepime,PL,IC50,"1,2,3,4,5,6,7,8,9,10",0.08635547041448322;0.12223689313336417;0.1254602900486695;0.05922847635829483;0.06892190597450333;0.07560772170520756;0.05169029720517194;0.0817858426185684;0.07254308737232475;0.07953810267906146,10,0.07940924848136299,0.06500902754625273,0.09699927813699978,0.05169029720517193,0.1254602900486695
Figure 2b-d,Cefepime,PL,MIC,"1,2,3,4,5,6,7,8,9,10",0.4061740970830712;0.5783248688496058;1.2107969802273821;0.8386347936733005;0.5391920842033283;0.42867386133566904;0.22217215902377443;0.7395184304575645;0.5363703448048661;0.5624118709033322,10,0.5541861505315706,0.4000708137534745,0.7676698196491056,0.22217215902377446,1.2107969802273821
Figure 3b-d,Levofloxacin,P,IC50,"1,2,3,4,5,6,7,8,9,10",0.03075589757246813;0.03508597696730427;0.031816097289626366;0.039580666917931995;0.030620599370258288;0.026797113765329523;0.030205450204539356;0.057518282313681855;0.042772903120535104;0.04118297592291217,10,0.03575255946166259,0.030409727071493826,0.04203409997908041,0.02679711376532953,0.05751828231368185
Figure 3b-d,Levofloxacin,P,MIC,"1,2,3,4,5,6,7,8,9,10",0.06329206379515726;0.10326810869900518;0.08200273790199224;0.16315742225621668;0.07603460336329834;0.08584711635207026;0.06560713595887836;0.2031387008875681;0.10858083053754158;0.1759867410623531,10,0.1038117356856237,0.07692752396565787,0.14009129516339078,0.06329206379515726,0.20313870088756814
Figure 3b-d,Levofloxacin,PL,IC50,"1,2,3,4,5,6,7,8,9,10",2.616124382296593;1.3912923905197805;1.4701919577491567;1.199280955434481;0.6948054429478341;1.6555029808967152;0.8217436486689456;1.07546804078312;1.3193828698380163;1.49665459049535,10,1.2912166708199548,0.9909350992900041,1.68249211497093,0.6948054429478341,2.616124382296593
Figure 3b-d,Levofloxacin,PL,MIC,"1,2,3,4,5,6,7,8,9,10",16.44365294822226;8.394422238771934;8.086322006551958;5.2234910913909856;49.30108250755711;4.95310645186283;3.823483987954424;9.64082134117312;6.3599417909307245;11.421921608179554,10,9.08071560918727,5.3742683204086035,15.34337161056893,3.8234839879544236,49.30108250755711
Figure 3b-d,Levofloxacin,PLA,IC50,"1,2,3,4,5,6,7,8,9,10",0.5085167922026672;1.8099893116523367;0.5603812235177772;0.43224395312796815;0.34777724177829766;0.4918965994375096;0.4903128445826583;0.44465107094636536;0.5974117861744147;0.4639776843492993,10,0.5448327788598856,0.3956892246777125,0.7501916615545,0.34777724177829766,1.8099893116523367
Figure 3b-d,Levofloxacin,PLA,MIC,"1,2,3,4,5,6,7,8,9,10",1.3350880908261482;2.919029900563792;0.89805080119194;1.0505347550679769;0.5801283715553921;0.6776378934728164;1.018744431817739;0.767468999533398;0.8436757708198891;0.5151388510965491,10,0.9313668061039089,0.6548740091042798,1.324596968963029,0.5151388510965491,2.919029900563792
Figure 3b-d,Levofloxacin,PLAC,IC50,"1,2,3,4,5,6,8,9,7,10",0.4164776435104561;1.8122449352658527;1.749480449865976;0.42892511199210903;0.4490578720038919;0.7237702647526332;0.6372330693179924;0.6718239789683471;0.3588302246875878;0.29598888077901864,10,0.6198292152346802,0.39672287836632103,0.9684045892198141,0.29598888077901864,1.8122449352658527
Figure 3b-d,Levofloxacin,PLAC,MIC,"1,2,3,4,5,6,8,9,7,10",0.8843653297848532;11.7008071201441;8.642293784410061;1.0757535944585916;0.8712222188868809;2.7955135851126696;8.947683046574166;2.5918201332453594;1.3433845280302301;1.3140064087270218,10,2.5014355555461902,1.210670672999723,5.168358314195414,0.8712222188868809,11.7008071201441
Figure 3b-d,Amikacin,P,IC50,"1,2,3,4,5,6,7,8,9,10",2.787036757387843;3.223472622720201;3.531480499059938;2.9855803093276463;2.793775192217125;1.8671780258019623;2.3428260777137524;3.1204141050789835;4.78367664930266;3.2845679945527646,10,2.988148518197365,2.501567182076948,3.5693750824599886,1.8671780258019623,4.78367664930266
Figure 3b-d,Amikacin,P,MIC,"1,2,3,4,5,6,7,8,9,10",81.26520359691659;34.40183238139791;28.66918509176829;41.08543898857884;32.33970561545491;26.28682926586932;26.66288314867671;45.63122815387165;98.61428507992309;55.84735668287935,10,42.39528381723561,30.43537924083924,59.05495954958234,26.286829265869322,98.61428507992308
Figure 3b-d,Amikacin,PL,IC50,"1,2,3,4,5,6,7,8,9,10",2.2771916279156525;5.801776731063872;2.3089195341759243;3.251995655954399;2.3231349414532674;2.270049085626627;4.758441719809861;2.0700224242491054;3.012459200174423;3.661077106077072,10,2.988545611188182,2.3222195829807397,3.846063884573753,2.0700224242491054,5.801776731063873
