Name,Time,n_records,n_observed,n_zero,n_missing,median,median_lower,median_upper,mad_scaled,mad_scaled_min,mad_scaled_max,median_workbook,mad_scaled_workbook,note
P1,0,6,6,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC6,1,3,3,0,0,0.18666666666666665,0.18666666666666665,0.18666666666666665,0.047223626219067324,0.047223626219067324,0.047223626219067324,0.18666666666666665,0.047223626219067324,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC6,2,3,3,0,0,0.12666666666666665,0.12666666666666665,0.12666666666666665,0.03733961142902995,0.03733961142902995,0.03733961142902995,0.12666666666666665,0.03733961142902995,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC6,3,3,3,0,0,0.05333333333333333,0.05333333333333333,0.05333333333333333,0.014276910252276143,0.014276910252276143,0.014276910252276143,0.05333333333333333,0.014276910252276143,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC6,5,3,3,0,0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.004942007395018674,0.004942007395018674,0.004942007395018674,0.016666666666666666,0.004942007395018674,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC6,7,3,3,0,0,0.0056,0.0056,0.0056,0.0011421528201820928,0.0011421528201820928,0.0011421528201820928,0.0056,0.0011421528201820928,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC7,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC7,1,3,3,0,0,0.006875,0.006875,0.006875,0.002922437065323544,0.002922437065323544,0.002922437065323544,0.006875,0.002922437065323544,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC7,2,3,3,0,0,0.0053124999999999995,0.0053124999999999995,0.0053124999999999995,0.0028219985409055487,0.0028219985409055487,0.0028219985409055487,0.0053124999999999995,0.0028219985409055487,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC7,3,3,3,0,0,0.00153125,0.00153125,0.00153125,0.00012473816742234646,0.00012473816742234646,0.00012473816742234646,0.00153125,0.00012473816742234646,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC7,5,3,3,0,0,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.00027798791596980076,0.00027798791596980076,0.00027798791596980076,0.0010000000000000002,0.00027798791596980076,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC7,7,3,3,0,0,0.0005000000000000001,0.0005000000000000001,0.0005000000000000001,0.00017106948675064647,0.00017106948675064647,0.00017106948675064647,0.0005000000000000001,0.00017106948675064647,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC8,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC8,1,3,3,0,0,0.013846153846153848,0.013846153846153848,0.013846153846153848,0.0019353315672800372,0.0019353315672800372,0.0019353315672800372,0.013846153846153848,0.0019353315672800372,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC8,2,3,3,0,0,0.0005,0.0005,0.0005,0.0003611466942513646,0.0003611466942513646,0.0003611466942513646,0.0005,0.0003611466942513646,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC8,3,3,3,0,0,0.0041025641025641026,0.0041025641025641026,0.0041025641025641026,0.00020735695363714778,0.00020735695363714778,0.00020735695363714778,0.0041025641025641026,0.00020735695363714778,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC8,5,3,3,0,0,0.00019500000000000002,0.00019500000000000002,0.00019500000000000002,1.9543392880301167e-05,1.9543392880301167e-05,1.9543392880301167e-05,0.00019500000000000002,1.9543392880301167e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC8,7,3,3,0,0,1.7500000000000002e-05,1.7500000000000002e-05,1.7500000000000002e-05,1.2355018487546649e-06,1.2355018487546649e-06,1.2355018487546649e-06,1.7500000000000002e-05,1.2355018487546649e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC9,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC9,1,3,3,0,0,0.00022972972972972976,0.00022972972972972976,0.00022972972972972976,2.8049231160916826e-05,2.8049231160916826e-05,2.8049231160916826e-05,0.00022972972972972976,2.8049231160916826e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC9,2,3,3,0,0,0.00013000000000000002,0.00013000000000000002,0.00013000000000000002,1.1620395766665519e-05,1.1620395766665519e-05,1.1620395766665519e-05,0.00013000000000000002,1.1620395766665519e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC9,3,3,3,0,0,0.00010000000000000002,0.00010000000000000002,0.00010000000000000002,0.0,0.0,0.0,0.00010000000000000002,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC9,5,3,3,0,0,6.756756756756758e-05,6.756756756756758e-05,6.756756756756758e-05,1.0017582557470309e-07,1.0017582557470309e-07,1.0017582557470309e-07,6.756756756756758e-05,1.0017582557470309e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC9,7,3,3,0,0,5.135135135135136e-05,5.135135135135136e-05,5.135135135135136e-05,0.0,0.0,0.0,5.135135135135136e-05,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
