Panel,value,Antibiotic,Strain,replicates,values,n_technical,geomean,min,max,ratio_vs_MG,ratio_min,ratio_max
Figure 5b-d / Supplementary Figure 10a-c,MIC,Levofloxacin,MG,"three technical dose-response series, one overnight culture",0.07034155111842015;0.07245698318627568;0.08684393951274327,3,0.0762097554950277,0.07034155111842014,0.08684393951274327,1.0,0.9229993018808408,1.1395383563251216
Figure 5b-d / Supplementary Figure 10a-c,MIC,Levofloxacin,gatA,"three technical dose-response series, one overnight culture",0.07981775021815374;0.07334042337771897;0.06638473098522536,3,0.07297437177900452,0.06638473098522538,0.07981775021815375,0.9575463312405684,0.8710791755467139,1.0473429510394041
Figure 5b-d / Supplementary Figure 10a-c,MIC,Levofloxacin,glvC,"three technical dose-response series, one overnight culture",0.07137511190869078;0.19672262289475892;0.20418029519728303,3,0.1420599459996656,0.07137511190869078,0.20418029519728306,1.864065106585131,0.936561355499266,2.6791884302870486
Figure 5b-d / Supplementary Figure 10a-c,MIC,Levofloxacin,hipA,"three technical dose-response series, one overnight culture",0.1620131885666488;0.17127377290136525;0.17869451953182441,3,0.17052346771050042,0.16201318856664884,0.17869451953182441,2.23755432100325,2.1258851641010628,2.3447722456409577
Figure 5b-d / Supplementary Figure 10a-c,MIC,Levofloxacin,selB,"three technical dose-response series, one overnight culture",0.5673639573255753;0.1404715060420743;0.3335893264188505,3,0.29846085313857146,0.1404715060420743,0.5673639573255753,3.9163077115244715,1.8432221062727245,7.444768109282189
Figure 5b-d / Supplementary Figure 10a-c,MIC,Levofloxacin,rpoZ,"three technical dose-response series, one overnight culture",0.07031389669456796;0.2159778819199483;0.08900331865492613,3,0.11056530838798737,0.07031389669456797,0.2159778819199483,1.4508025602470433,0.9226364293893529,2.8339925842438864
Figure 5b-d / Supplementary Figure 10a-c,MIC,Levofloxacin,ftsH,"three technical dose-response series, one overnight culture",0.10531937380120424;0.09714077626946721;0.09782174997229065,3,0.10002650363719878,0.0971407762694672,0.10531937380120424,1.3125157401105296,1.2746501499510143,1.3819670869837102
Figure 5b-d / Supplementary Figure 10a-c,MIC,Levofloxacin,fimE,"three technical dose-response series, one overnight culture",0.06152966836349658;0.11520928335967724;0.17069069972539358,3,0.10655994051902894,0.06152966836349659,0.1706906997253936,1.398245406075098,0.8073725990042192,2.239748685934707
Figure 5b-d / Supplementary Figure 10a-c,MIC,Amikacin,MG,"three technical dose-response series, one overnight culture",78.44743308266439;44.25543420642006;51.60409127027511,3,56.37369386495074,44.25543420642007,78.44743308266438,1.0,0.7850369768643994,1.3915609871262589
Figure 5b-d / Supplementary Figure 10a-c,MIC,Amikacin,gatA,"three technical dose-response series, one overnight culture",38.31721221636491;43.97272666443233;26.7357288887117,3,35.58140636688897,26.735728888711698,43.97272666443232,0.6311703904329573,0.47425895050907996,0.7800220927472613
