Name,Time,n_records,n_observed,n_missing,median,mad_scaled,median_workbook,mad_scaled_workbook,note
PLAC5,7,3,3,0,0.006086956521739131,0.0006446096602198253,0.006086956521739131,0.0006446096602198253,Observed-only summary is conditional where counts are missing
PLAC6,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
PLAC6,1,3,3,0,0.006923076923076924,0.0026265214127371996,0.006923076923076924,0.0026265214127371996,Observed-only summary is conditional where counts are missing
PLAC6,2,3,3,0,0.001666666666666667,4.4927339954714795e-05,0.001666666666666667,4.4927339954714795e-05,Observed-only summary is conditional where counts are missing
PLAC6,3,3,3,0,0.0005,9.884014790037334e-05,0.0005,9.884014790037334e-05,Observed-only summary is conditional where counts are missing
PLAC6,5,3,3,0,0.0002303030303030303,7.681125863225524e-06,0.0002303030303030303,7.681125863225524e-06,Observed-only summary is conditional where counts are missing
PLAC6,7,3,3,0,8.205128205128206e-05,2.6610809050100543e-05,8.205128205128206e-05,2.6610809050100543e-05,Observed-only summary is conditional where counts are missing
PLAC7,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
PLAC7,1,3,3,0,0.0035483870967741938,0.0012366405601360088,0.0035483870967741938,0.0012366405601360088,Observed-only summary is conditional where counts are missing
PLAC7,2,3,3,0,0.00232258064516129,0.00026304232908970455,0.00232258064516129,0.00026304232908970455,Observed-only summary is conditional where counts are missing
PLAC7,3,3,3,0,0.0007741935483870968,0.00034297986805982106,0.0007741935483870968,0.00034297986805982106,Observed-only summary is conditional where counts are missing
PLAC7,5,3,3,0,0.00020967741935483871,4.399980777500491e-05,0.00020967741935483871,4.399980777500491e-05,Observed-only summary is conditional where counts are missing
PLAC7,7,3,3,0,0.00010000000000000002,8.472012677174876e-06,0.00010000000000000002,8.472012677174876e-06,Observed-only summary is conditional where counts are missing
PLAC8,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
