"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.32964364405583e-06,-0.165563503174223,0.066,0.088,0.0288545967196556,"6","kdsA-1"
1.51318878738909e-06,-0.464538235234394,0.016,0.028,0.0328377098751307,"6","sodA-1"
1.68825855361806e-06,-0.15626612177268,0.153,0.185,0.0366368988720655,"6","prfA-1"
1.8627359033032e-06,-0.675781003975205,0.011,0.021,0.0404232318375828,"6","dinG-5"
1.91549671706327e-06,-0.513587971331563,0.011,0.022,0.0415681942569901,"6","yecJ-2"
2.10063345410566e-06,-0.143074792394525,0.058,0.078,0.045585846587547,"6","hns-2"
2.22649887107986e-06,-0.324250533753126,0.022,0.034,0.0483172520013041,"6","betT-1"
2.28209386673203e-06,-0.217254986874503,0.031,0.046,0.0495237190019519,"6","copA-2"
2.45381338665236e-06,-0.222929774481011,0.025,0.039,0.0532502043037429,"6","yfiQ-1"
2.68293464865822e-06,-0.713973982356537,0.008,0.017,0.058222364810532,"6","mazG-1"
3.06857570885117e-06,-0.868689847985857,0.004,0.011,0.0665911614577793,"6","rnt-3"
3.10353602585092e-06,-0.920252711428597,0.005,0.012,0.0673498352969909,"6","yeaY-4"
3.1841001256752e-06,-0.575250902998427,0.015,0.026,0.0690981568272775,"6","slyD-4"
3.48168128441278e-06,-0.289407843983227,0.029,0.044,0.0755559655530417,"6","gpmA-2"
3.61888620375538e-06,-0.373441251956652,0.016,0.028,0.0785334495076955,"6","gsk-2"
3.76538721388401e-06,-0.700115627760655,0.009,0.019,0.081712667928497,"6","cueO-5"
4.27429560967558e-06,-0.444013473513463,0.016,0.027,0.0927564890255697,"6","feoB-2"
4.3008841249519e-06,-0.207455804350914,0.09,0.114,0.0933334863955813,"6","ycbK-2"
5.61145179353832e-06,-0.232645089147037,0.058,0.077,0.121774115371575,"6","uvrA-4"
5.74162339440116e-06,-0.305131944285054,0.037,0.052,0.1245989692819,"6","mioC-3"
6.04157293517444e-06,-0.254478670819837,0.108,0.132,0.131108174266221,"6","fis-1"
7.44888640906293e-06,-0.199214912600705,0.047,0.063,0.161648283963075,"6","lpxP-2"
7.45479476458694e-06,-0.254538330069699,0.029,0.043,0.161776501186301,"6","fadE-1"
7.51996990414913e-06,-0.202581667235495,0.039,0.054,0.16319086688994,"6","aceA-5"
7.54737110466503e-06,-0.390834265085668,0.016,0.027,0.163785500342336,"6","yrbL-1"
8.17323210213111e-06,-0.303251556811907,0.016,0.027,0.177367309848347,"6","phoQ-3"
8.38172997509912e-06,-0.412745272713434,0.054,0.071,0.181891922189626,"6","truB-2"
8.672496840858e-06,-0.635246621264906,0.02,0.031,0.18820185394346,"6","glnH-5"
9.23431828992967e-06,-0.340771127127057,0.022,0.033,0.200393941209764,"6","aroB-2"
1.05810526166163e-05,-0.273822380145784,0.023,0.035,0.229619422833191,"6","bfr-3"
1.06970461914984e-05,-0.38443034663689,0.024,0.036,0.232136599401707,"6","gidB-4"
1.16175944922714e-05,-0.554207887688558,0.013,0.022,0.252113418076781,"6","ycbL-3"
1.32882494808483e-05,-0.260573829214697,0.026,0.039,0.288368301983888,"6","aroM-4"
1.34626966517178e-05,-0.315758541591975,0.019,0.03,0.292153980038927,"6","gnd-1"
1.52546682178571e-05,-0.20529414265173,0.021,0.033,0.331041554995716,"6","puuC-5"
1.67371012039402e-05,-0.30948414864137,0.058,0.075,0.363211833226707,"6","bax-4"
1.75555305721049e-05,-0.142689934998939,0.064,0.083,0.380972568945248,"6","lpd-1"
1.78403727038844e-05,-0.265940739149454,0.084,0.105,0.387153928046996,"6","dnaG-2"
1.8528149548531e-05,-0.1766364073394,0.055,0.073,0.40207937335267,"6","dnaX-2"
1.88294159841641e-05,-0.272786463589076,0.047,0.062,0.408617156272346,"6","secG-2"
2.10830679489877e-05,-0.358971959655927,0.023,0.035,0.457523657560982,"6","osmY-4"
2.29398869144402e-05,-0.532735192509468,0.008,0.016,0.497818485930266,"6","yidE-3"
2.2983112776995e-05,-0.164796162204483,0.043,0.059,0.498756530373569,"6","uspE-1"
2.82475029409927e-05,-0.154556606335722,0.075,0.095,0.612999061322483,"6","lepA-2"
3.02370986183272e-05,-0.276229149947702,0.018,0.028,0.656175277116318,"6","recQ-4"
3.05463075539999e-05,-0.635176828127229,0.009,0.016,0.662885420229352,"6","aaeB-1"
3.27689813338407e-05,-0.799293818583505,0.004,0.011,0.711119663925677,"6","yebU-2"
3.3419357714616e-05,-0.18991699575925,0.009,0.016,0.725233481764882,"6","yqjF-4"
3.7331568458038e-05,-0.963435562777632,0.004,0.01,0.810132367107883,"6","yceF-5"
3.79804604180922e-05,-0.315741386165349,0.024,0.036,0.824213971533018,"6","rseP-4"
3.95507975669223e-05,-0.395541159278853,0.008,0.015,0.85829185799978,"6","uidR-4"
4.08861960438275e-05,-0.759908199141345,0.007,0.014,0.887271340347102,"6","ygjG-1"
4.72515293869234e-05,-0.282973761403587,0.021,0.032,1,"6","pheT-2"
5.09469676701286e-05,-0.402979907958618,0.007,0.014,1,"6","ybgA-3"
