"Feature","Gene","Probe","Summed_Counts"
"flgB-3","flgB","3",33
"flgC-2","flgC","2",53
"flgD-2","flgD","2",12
"flgE-1","flgE","1",70
"flgF-1","flgF","1",0
"flgG-1","flgG","1",46
"flgH-5","flgH","5",59
"flgI-3","flgI","3",6
"flgJ-5","flgJ","5",48
"flgK-1","flgK","1",67
"flgL-3","flgL","3",61
"flgM-1","flgM","1",0
"flgN-1","flgN","1",68
"flhA-5","flhA","5",83
"flhB-1","flhB","1",17
"flhC-2","flhC","2",183
"flhD-5","flhD","5",39
"flhE-1","flhE","1",0
"fliA-2","fliA","2",48
"fliC-5","fliC","5",482
"fliD-1","fliD","1",190
"fliE-1","fliE","1",0
"fliF-2","fliF","2",23
"fliG-4","fliG","4",56
"fliH-2","fliH","2",4
"fliI-5","fliI","5",4
"fliJ-1","fliJ","1",49
"fliK-2","fliK","2",1
"fliL-3","fliL","3",36
"fliM-1","fliM","1",3
"fliN-3","fliN","3",18
"fliO-2","fliO","2",20
"fliP-4","fliP","4",22
"fliQ-1","fliQ","1",0
"fliR-2","fliR","2",44
"fliS-2","fliS","2",95
"fliT-1","fliT","1",92
"fliY-3","fliY","3",1239
"fliZ-3","fliZ","3",71
"flk-2","flk","2",188
"flu-2","flu","2",38
"flxA-2","flxA","2",22
"fmt-2","fmt","2",289
"fnr-5","fnr","5",356
"focA-1","focA","1",210
"focB-1","focB","1",33
"folA-1","folA","1",0
"folB-1","folB","1",38
"folC-5","folC","5",231
"folD-4","folD","4",339
"folE-2","folE","2",1426
"folK-3","folK","3",664
"folM-2","folM","2",193
"folP-5","folP","5",199
"folX-5","folX","5",312
"fpr-2","fpr","2",266
"frc-5","frc","5",50
"frdA-4","frdA","4",104
"frdB-2","frdB","2",117
"frdC-5","frdC","5",157
"frdD-1","frdD","1",0
"fre-1","fre","1",0
"frlA-1","frlA","1",13
"frlB-2","frlB","2",64
"frlC-2","frlC","2",61
"frlD-1","frlD","1",0
"frlR-4","frlR","4",110
"frmA-3","frmA","3",927
"frmB-1","frmB","1",1029
"frmR-1","frmR","1",18
"frr-4","frr","4",3495
"frsA-1","frsA","1",625
"fruA-4","fruA","4",673
"fruB-4","fruB","4",202
"fruK-2","fruK","2",19
"fruR-5","fruR","5",168
"frvA-1","frvA","1",0
"frvB-2","frvB","2",3
"frvR-3","frvR","3",40
"frvX-5","frvX","5",76
"frwB-1","frwB","1",0
"frwC-1","frwC","1",3
"frwD-1","frwD","1",0
"fsaA-3","fsaA","3",41
"fsaB-5","fsaB","5",15
"fsr-4","fsr","4",242
"ftn-5","ftn","5",581
"ftsA-5","ftsA","5",701
"ftsB-4","ftsB","4",619
"ftsE-3","ftsE","3",39
"ftsH-2","ftsH","2",15027
"ftsI-2","ftsI","2",718
"ftsK-5","ftsK","5",1672
"ftsL-1","ftsL","1",20
"ftsN-1","ftsN","1",0
"ftsQ-3","ftsQ","3",91
"ftsW-1","ftsW","1",186
"ftsX-2","ftsX","2",994
"ftsY-4","ftsY","4",396
"ftsZ-1","ftsZ","1",0
"fucA-2","fucA","2",35
"fucI-3","fucI","3",5
"fucK-1","fucK","1",62
"fucO-1","fucO","1",72
"fucP-4","fucP","4",20
"fucR-2","fucR","2",119
"fucU-2","fucU","2",37
"fumA-4","fumA","4",426
"fumB-1","fumB","1",4
"fumC-4","fumC","4",262
"fur-1","fur","1",1901
