Panel,value,Antibiotic,Group1,Group2,geomean1,geomean2,ratio,lo,hi,p,n1,n2,test,q_bh,p_holm_figure,k_bh,pooled_sd_log10,df_pooled,sig_bh,sig_holm
Figure 3b-d,IC50,Cefepime,PLA,PLAC,0.04747903728341877,0.0529445114644519,1.1151134162305743,0.766772623453095,1.6217036094188195,0.5269413837589554,10,10,paired,0.5269413837589554,1.0,6.0,,,False,False
Figure 3b-d,IC50,Levofloxacin,P,PL,0.03575255946166259,1.2912166708199548,36.11536321489162,26.956520210592416,48.38604723287029,7.222852832390853e-14,10,10,unpaired Welch,4.333711699434512e-13,1.3001135098303535e-12,6.0,,,True,True
Figure 3b-d,IC50,Levofloxacin,P,PLA,0.03575255946166259,0.5448327788598856,15.238986720492244,10.83047254298172,21.44197451641431,1.7583192120229552e-10,10,10,unpaired Welch,5.274957636068865e-10,2.8133107392367283e-09,6.0,,,True,True
Figure 3b-d,IC50,Levofloxacin,P,PLAC,0.03575255946166259,0.6198292152346802,17.336638958654742,10.942221472798645,27.467827363018337,2.2971859655262276e-08,10,10,unpaired Welch,4.594371931052455e-08,3.2160603517367187e-07,6.0,,,True,True
Figure 3b-d,IC50,Levofloxacin,PL,PLA,1.2912166708199548,0.5448327788598856,0.42195302397536677,0.29445484061291577,0.6046575905200006,0.0004188150462841625,10,10,paired,0.0006282225694262438,0.004606965509125788,6.0,,,True,True
Figure 3b-d,IC50,Levofloxacin,PL,PLAC,1.2912166708199548,0.6198292152346802,0.4800350159985722,0.29679804980447627,0.7763986883894749,0.007241255459417303,10,10,paired,0.008689506551300763,0.04385385840083654,6.0,,,True,True
Figure 3b-d,IC50,Levofloxacin,PLA,PLAC,0.5448327788598856,0.6198292152346802,1.1376503750962481,0.8242016427104694,1.5703055040030847,0.38896643591759306,10,10,paired,0.38896643591759306,1.0,6.0,,,False,False
Figure 3b-d,MIC,Amikacin,P,PL,42.39528381723561,18.464675468349583,0.43553607396403027,0.24354920599527224,0.7788638478570263,0.008086209545856418,10,10,unpaired Welch,0.016172419091712836,0.07277588591270776,6.0,,,True,False
Figure 3b-d,MIC,Amikacin,P,PLA,42.39528381723561,160.07504671310184,3.775774857486013,2.464469798057597,5.784804417428829,3.807530981522138e-06,10,10,unpaired Welch,2.2845185889132828e-05,5.711296472283207e-05,6.0,,,True,True
Figure 3b-d,MIC,Amikacin,P,PLAC,42.39528381723561,65.53414607616617,1.545788591926434,0.7211206369707649,3.3135404097813654,0.23831756115049357,10,10,unpaired Welch,0.23831756115049357,0.5654193281684602,6.0,,,False,False
Figure 3b-d,MIC,Amikacin,PL,PLA,18.464675468349583,160.07504671310184,8.669258606114555,4.486492277445874,16.751626912969307,4.0295477364335465e-05,10,10,paired,0.0001208864320930064,0.0005641366831006965,6.0,,,True,True
Figure 3b-d,MIC,Amikacin,PL,PLAC,18.464675468349583,65.53414607616617,3.549163167719827,1.363427518403271,9.238891705699944,0.015074180771090441,10,10,paired,0.02261127115663566,0.09044508462654265,6.0,,,True,False
Figure 3b-d,MIC,Amikacin,PLA,PLAC,160.07504671310184,65.53414607616617,0.4093963888926499,0.18905306086779763,0.8865521799488141,0.02805346223021933,10,10,paired,0.03366415467626319,0.11221384892087732,6.0,,,True,False
Figure 3b-d,MIC,Cefepime,P,PL,0.1522032837085734,0.5541861505315706,3.6410919464305502,2.1725730373254923,6.102234693422268,6.6102738938175e-05,10,10,unpaired Welch,0.00039661643362905,0.0007932328672581,6.0,,,True,True
Figure 3b-d,MIC,Cefepime,P,PLA,0.1522032837085734,0.10029852136234149,0.658977381554954,0.3469319794023101,1.2516897120557922,0.18847310938948672,10,10,unpaired Welch,0.22616773126738404,0.5654193281684602,6.0,,,False,False
Figure 3b-d,MIC,Cefepime,P,PLAC,0.1522032837085734,0.4733149723335541,3.109755327222897,1.355465845132325,7.13450525508971,0.010825567323510752,10,10,unpaired Welch,0.01623835098526613,0.07577897126457526,6.0,,,True,False
Figure 3b-d,MIC,Cefepime,PL,PLA,0.5541861505315706,0.10029852136234149,0.18098344981399483,0.08958421246289093,0.3656337227962251,0.00038083579124524066,10,10,paired,0.0007616715824904813,0.00412622293253073,6.0,,,True,True
Figure 3b-d,MIC,Cefepime,PL,PLAC,0.5541861505315706,0.4733149723335541,0.8540721775157216,0.384595868571529,1.8966383781389518,0.6652595254148808,10,10,paired,0.6652595254148808,0.6652595254148808,6.0,,,False,False
Figure 3b-d,MIC,Cefepime,PLA,PLAC,0.10029852136234149,0.4733149723335541,4.719062314225372,2.495862321420681,8.92258716933792,0.00037511117568461184,10,10,paired,0.0007616715824904813,0.00412622293253073,6.0,,,True,True
Figure 3b-d,MIC,Levofloxacin,P,PL,0.1038117356856237,9.08071560918727,87.47291960021438,49.38851500057818,154.92491854221564,8.44192947964119e-11,10,10,unpaired Welch,5.065157687784714e-10,1.5195473063354141e-09,6.0,,,True,True
Figure 3b-d,MIC,Levofloxacin,P,PLA,0.1038117356856237,0.9313668061039089,8.971690916761046,5.834416232548139,13.795936850864466,3.8941037379770075e-09,10,10,unpaired Welch,1.1682311213931023e-08,6.619976354560912e-08,6.0,,,True,True
