(Gene-Ontology-Terms Pathways All-Genes)	p-values	Matches
Biosynthesis	1.3774306e-4	dsbA // dsbD // acpP // fabB // fabF // ubiD // ubiG // ubiE // purL // cmk // carB // argF // speA // speD // ldcC // deoD // hpt // nadR // folC // accA // accD // thrA // asd // fabA // madA // folE // folK // otsB // otsA // serA // ydiJ // serC // glyA // aroB // kdsD // kdsB // lipB // plsB // gpsA // avtA // panE // panC // pheA // aspC // tyrB // aroE // aroA // wecB // menI // thyA // mazG // dcd // arnA // ubiC // ddlA // murI // murB // wecA // gmhA // gmhB // hldE // nadE // pdxI // pdxH // pabB // pabA // gshB // gshA // guaA // guaB // nudJ // folX // lpxL // waaA // waaG // waaP // waaF // waaC // metG // glyS // lysS // pheT // proS // trpS // tyrS // alaS // valS // leuS // ileS // gltX // glnS // cysS // dapD // upp // pgi // glmU // aspA // moaA // ridA // ilvG // ilvI // pyrD // pyrC // tpiA // maeA // pck // gpmM // pgk // gapA // fbaB // fbaA // ybiV // yidA // yigL // grxB // menA // clsC // pgpA // pgsA // psd // clsA // fdhD // hemG // hemF // pdxA // pdxB // rfbB // betA // ribC // ribF // alaA // proA // proC // pgm // galU // pntB // nadK // relA // idi // metK // gltB // gdhA // glgB // mrdA // dacD // dacC // ampH // dacB // slyD // hemB // hemC // folD // hscA // udp // moeA // sbp // modB
protein homodimerization activity	2.1605521e-4	tyrB // aspC // pheA // pldA // hemF // gnd // gpmA // fabB // fabF // glyA // gpsA // pflB // yajL // guaA // fumA // gor // ariR // yqjG // nfsB // pepD // sodA // grpE // pgi // grxD // wecB // fabA // cmoA // mnmE // alaA // moeA // rraB // sbmA // serC // pfkB // dcyD // diaA // uvrD // roxA // nudK // yhdH // seqA // fbaA // bdcA // pepQ // osmC // patA // cas1 // fdhD // metG // ivy // yfhM // dnaJ // tyrS // ppx // bfr // rhlB // alaS // dcuR // pdxB // lysS // thyA // ygaP // truA // exbD // hchA // accC // rbn // ychF // macB // uraA // dacC // pdxA // narX // hldE // ydgA // htpG // hemW // panC // barA // ydjA // epmA // fadR // nadE // psd // pdxH // dsbG // folD // uspA // uspD // pyrC // hinT // yjtD // ybdK
cation binding	2.1605521e-4	gpmM // nagE // speD // yfbR // dgcE // hslV // purL // mlc // hmp // aceA // yecA // katE // yggX // recQ // slyD // mnmE // ycdX // hflX // srkA // rpe // tdh // idi // msrB // hchA // moaA // ilvI // uvrA // udp // folE // sdhC // dgcN // htpX // vsr // frmA // crcB // folC // argF // yihA // nfo // aceK // gltX // pyrC // rppH // ulaG // queG // maeA // pgpA // yahK // gyrB // ileS // speA // sodA // ackA // alaS // grxD // dgcJ // folK // guaB // thyA // fbaA // ybiV // poxB // tktB // metK // speG // dam // groS // hemW // clpX // hybO // pykF // mutY // nadR // yjiA // prlC // rnm // yrdD // nagK // cmoA // cydA // ygiQ // hyaC // icd // yacG // aroB // hemB // glyA // potD // rsxC // gloB // metG // accC // btuB // ytfE // pykA // hslO // gmhA // glmU // gcd // roxA // pck // pepP // carB // lapB // cutC // valS // pdxA // pepQ // menA // acnA // hemF // ygiC // hxpB // kdsD // gmhB // galU // ddlA // nadK // lysS // rbn // groL // trkH // potF // cas1 // gshB // bisC // dnaK // mrp // gshA // dgcP // nuoB // rlmD // upp // aphA // umpG // nadE // hyfA // pgm // fur // dcp // ftnA // glgB // nagA // moeA // pheT // serA // yidA // adhE // yrfG // ychF // nuoF // pabB // ubiD // rcnR // radD // hslU // pldA // ydiJ // fumA // bepA // glpK // mazG // yigL // yfhL // accD // chbG // msrP // thrA // kdsB // umpH // pta // gltB // iap // bfr // hpt // dnaJ // amyA // wecA // pfkB // nudK // yobA // pepD // rlmA // cysS // sdhB // phoQ // sdaA // zntR // selO // otsB // pepN // nrdG
regulation of biological quality	2.2308757e-4	dacC // mrdA // dacD // lpoA // ybhK // ldtA // nagZ // glmU // dacB // ampH // ddlA // murI // murB // yhcB // cvrA // opgH // valS // yeaK // ileS // proS // leuS // alaS // mnmE // csrA // pcnB // rppH // hfq // rssB // hslO // cnoX // surA // secB // exbD // rseB // slyD // gadB // nhaA // yjcE // kefG // trhA
tRNA aminoacylation	2.704158e-4	leuS // glyS // glnS // epmA // lysS // gltX // trpS // ileS // cysS // metG // proS // valS // tyrS // alaS // pheT
ligase activity, forming carbon-oxygen bonds	2.704158e-4	gltX // cysS // glyS // metG // tyrS // leuS // ileS // alaS // glnS // valS // trpS // lysS // epmA // proS // pheT
tRNA aminoacylation for protein translation	2.704158e-4	leuS // glyS // glnS // epmA // lysS // gltX // trpS // ileS // cysS // metG // proS // valS // tyrS // alaS // pheT
aminoacyl-tRNA ligase activity	2.704158e-4	gltX // cysS // glyS // metG // tyrS // leuS // ileS // alaS // glnS // valS // trpS // lysS // epmA // proS // pheT
glycolysis I (from glucose 6-phosphate)	2.9217935e-4	pykF // pykA // gpmM // pgk // gapA // tpiA // fbaB // fbaA // pfkB // pgi // ybiV // yidA // yigL // gpmA // manZ // manY
cytosol	3.3386046e-4	gapA // udp // aspA // fabB // clpB // htpG // gshB // ackA // proS // groL // lysS // groS // tpiA // adhE // guaB // hchA // katE // glyA // guaA // tdh // pykA // hemB // pykF // bfr // glyS // panC // glpK // ftnA // gltA // frmA // hdhA // metK // tyrS // pgi // poxB // hslV // deoD // pepP // fbaB // galU // nfsB // upp // cysS // pgm // hpt // mnmE // msrB // nadK // yihA // potG // yheS // pfkB // cyaA // amyA // amn // caiB // argF // pheA // ubiC // hemF // kdsB // ddlA // dcyD // ubiG // pyrC // rfbB // bcp // bisC // bolA // moeA // clpA // clpX // dam // dbpA // dnaJ // dnaK // grpE // gyrA // gyrB // hfq // truA // hsdR // lon // miaA // minC // mutS // mutY // pcnB // pepD // polA // prfA // recN // rfaH // sbcC // trmA // tus // uvrA // uvrC // uvrD // gcvR // mnmA // prlC // hdfR // moaA // mfd // hpf // srkA // hslU // sbmC // zntR // efp // rssB // hscA // rsmB // rlmA // chaC // mug // purL // gmhA // yaiL // nagZ // nagK // kdgR // exoX // cutC // cbl // hslR // hslO // glnS // gltX // proA // gpsA // glgB // leuS // ltaE // aceB // maa // ghrB // dkgA // glmU // malT // nagC // gcvA // ihfA // lrp // fadR // mlc // fhlA // exuR // cytR // iclR // pdxA // serA // gpmM // pheT // ppx // serC // proC // relA // secB // otsA // otsB // trpS // tyrB // wecB // murB // acpP // arcA // dcuR // evgA // phoP // uvrY // patA // cnoX // talB // folD // alaS // yccJ // zapA // ppnN // sdaA // yceH // ubiD // ybeD // maeA // gltB // nhaR // rpsT // ribF // ileS // carB // sgrR // ilvI // yacG // speD // yadI // rpnC // folK // sfsA // dapD // ldcC // gmhB // yafE // gloB // prfH // insN // betA // yaiX // yajL // panE // yajQ // intD // ybdK // ybeF // lipB // ybeX // ybeZ // umpH // nagA // nagB // fur // ybfE // seqA // ybgA // ybgC // gpmA // acrZ // ybhK // hcxB // ybiV // bssR // gstB // ybjN // ybjS // pflB // aroA // cmk // ycaR // cmoM // pyrD // fabA // ycbZ // tusE // ghrA // ycdX // ycdY // trhO // yceF // hinT // ycfP // comR // roxA // nudJ // rluE // icd // bluR // ariR // ymgC // dhaR // prmC // ychJ // rssA // hns // rnm // cysB // acnA // lapB // rnb // pspA // ycjX // pinR // ldhA // pdxI // ydcF // sutR // rlhA // yddM // sra // osmC // lsrK // dcp // ydfG // pinQ // dmsD // ydgJ // pdxH // ribC // menI // selO // yniA // hxpB // chbG // nadE // cho // gdhA // ydjA // yeaC // yeaD // yeaH // yeaK // yeaR // tsaB // pabB // rsmF // yebK // cmoA // yecJ // vsr // yeeN // tmaR // yeeY // yeeZ // gnd // dcd // rcnR // mrp // folE // nfo // radD // yejK // inaA // arnA // elaA // rbn // lrhA // alaA // pta // folX // yfcH // folC // pdxB // mnmC // prmB // tktB // nudK // ypfH // yfgD // hda // xseA // yfhL // grcA // abpA // ygaV // gshA // umpG // mazG // rlmD // truC // recC // thyA // rppH // galR // idi // srsR // pgk // fumE // yggS // hemW // yggL // yggX // ygiC // hldE // yqjG // cyuA // prlF // diaA // rlmE // kdsD // rpoN // zapE // aaeR // yjaG // rraA // uspD // fdhD // madA // bipA // hemG // pepQ // yigL // recQ // hemC // rhlB // yieP // rsmG // yidA // waaH // avtA // insK // gadW // arsC // rlmJ // rsmD // asd // yhgF // pck // yrfG // aroB // rpe // pabA // prkB // kefG // yheV // slyD // tusC // yhdN // yrdD // aroE // yrdB // aceK // epmA // queG // hflX // ulaR // ytfE // nrdG // ridA // bdcA // bdcR // tabA // rraB // valS // yjhU // yjiA // dnaC // rsmC // hipH // nadR // yjtD // grxD // elaB // yfcO // fbaA // ygiM // yqjK // sodA // yjdM // tatA // puuC // accA // accC // grxB // pdeB // arcB // dpiB // evgS // cbpA // gadB // ompR // fabF // metG // gor // aspC // ulaG // hyfA // ycgL // yaeQ // murI // thrA // aceA // ydhS // yahK // hrpA // ydiJ // ucpA // ychF // yjgL // yecA // hmp // recA // rsxC // yheT // yfbR // uspA // uspE // htrL // gatZ // recE // ygiQ // yhdH // cas1 // rlmM // fumA // yjiV // accD // clpP // waaC // waaF // waaP // waaG // csrA // glnD
amino acid activation	5.000472e-4	leuS // glyS // glnS // epmA // lysS // gltX // trpS // ileS // cysS // metG // proS // valS // tyrS // alaS // pheT
Glycolysis	5.000472e-4	gpmA // ybiV // yidA // yigL // pfkB // fbaB // fbaA // tpiA // gapA // pgk // gpmM // pykF // pykA // pgi // manZ // manY
nucleobase-containing compound metabolic process	5.000472e-4	gpmM // sbcC // insK // hfq // ribF // hrpA // yfbR // intF // purL // cmk // mlc // recQ // mnmE // rna // dnaC // rpe // mug // rfbB // hchA // truC // uvrA // polA // udp // ihfA // folE // vsr // leuS // lrhA // nfo // rpnC // gltX // gnd // folD // pyrC // rppH // queG // yeaK // tusE // xseA // diaA // recE // gcvR // gyrB // ileS // deoD // talB // ackA // alaS // rlmM // exoX // fhlA // guaB // uvrD // miaA // dcuR // thyA // fbaA // hldE // gpmA // trhO // guaA // yceF // mnmC // tktB // speG // dam // yhgF // rlmJ // accA // pykF // fbaB // nagB // mutY // mfd // nadR // prlC // recA // srsR // rnm // yrdD // cmoA // aaeR // dhaR // yebK // pyrD // hsdR // rraB // rsmD // rhlB // pgi // gyrA // uvrC // metG // accC // tus // dcd // pykA // bolA // trmA // glmU // rlmE // hda // carB // gcvA // glyS // tusC // yeeY // valS // intD // gmhB // galU // nadK // lysS // rbn // tsaB // tyrS // cas1 // dnaK // rsmG // yjtD // rfaH // rlmD // rnb // upp // rsmF // recC // umpG // amn // ulaR // ydfG // nadE // pinR // galR // ybeF // pgk // tpiA // pcnB // pheT // rsmC // yrfG // cmoM // rsmB // glnS // pntB // csrA // radD // recN // rlhA // gapA // arnA // relA // trpS // mazG // gadW // yfhL // accD // mnmA // kdsB // rluE // umpH // pinQ // cyaA // yajL // pta // cysB // cho // hpt // dnaJ // pfkB // nudK // rlmA // cysS // mutS // zntR // apaG // nrdG // truA // rpoN // epmA // proS
tRNA metabolic process	5.000472e-4	rbn // pcnB // mnmA // tusE // tusC // mnmE // cmoA // mnmC // cmoM // trhO // yfhL // truC // truA // yjtD // trmA // tsaB // miaA // queG // rppH // hfq // ileS // yeaK // proS // leuS // alaS // valS // rnb // glyS // glnS // epmA // lysS // gltX // trpS // cysS // metG // tyrS // pheT
nucleoside phosphate metabolic process	5.612308e-4	gpmM // ribF // yfbR // purL // cmk // rpe // rfbB // hchA // udp // gnd // folD // pyrC // talB // ackA // guaB // thyA // fbaA // hldE // gpmA // guaA // yceF // tktB // speG // accA // pykF // fbaB // nagB // nadR // pyrD // pgi // accC // dcd // pykA // glmU // carB // gmhB // galU // nadK // upp // umpG // amn // nadE // pgk // tpiA // pntB // gapA // arnA // relA // mazG // accD // kdsB // umpH // cyaA // pta // hpt // pfkB // nudK // nrdG
organophosphate metabolic process	7.700903e-4	gpmM // ribF // yfbR // purL // cmk // fdhD // clsC // rpe // rfbB // idi // hchA // moaA // waaA // udp // pdxH // serC // gnd // folD // pyrC // pgpA // clsA // pldB // talB // ackA // psd // guaB // thyA // fbaA // hldE // gpmA // gpsA // pgsA // guaA // yceF // tktB // pdxI // speG // accA // pykF // fbaB // nagB // nadR // pyrD // plsB // pgi // accC // dcd // pykA // gmhA // glmU // rssA // carB // gatZ // plsY // pdxA // gmhB // galU // nadK // upp // umpG // amn // nadE // pgk // moeA // tpiA // pntB // pdxB // gapA // arnA // relA // pldA // glpK // mazG // accD // kdsB // umpH // cyaA // lpxL // pta // hpt // pfkB // nudK // nrdG // acpP
metal ion binding	0.0011383052	gpmM // nagE // speD // yfbR // dgcE // hslV // purL // mlc // hmp // aceA // yecA // katE // yggX // recQ // slyD // mnmE // ycdX // hflX // srkA // rpe // tdh // idi // msrB // hchA // moaA // ilvI // uvrA // udp // folE // sdhC // dgcN // htpX // vsr // frmA // crcB // folC // argF // yihA // nfo // aceK // gltX // pyrC // rppH // ulaG // queG // maeA // pgpA // yahK // gyrB // ileS // speA // sodA // ackA // alaS // grxD // dgcJ // folK // guaB // thyA // fbaA // ybiV // poxB // tktB // metK // speG // groS // hemW // clpX // hybO // pykF // mutY // nadR // yjiA // prlC // rnm // yrdD // nagK // cydA // ygiQ // hyaC // icd // yacG // aroB // hemB // glyA // rsxC // gloB // metG // accC // btuB // ytfE // pykA // hslO // gmhA // glmU // gcd // roxA // pck // pepP // carB // lapB // cutC // valS // pdxA // pepQ // menA // acnA // hemF // ygiC // hxpB // kdsD // gmhB // galU // ddlA // nadK // lysS // rbn // groL // trkH // cas1 // gshB // bisC // dnaK // mrp // gshA // dgcP // nuoB // rlmD // upp // aphA // umpG // nadE // hyfA // pgm // fur // dcp // ftnA // nagA // moeA // pheT // yidA // adhE // yrfG // ychF // nuoF // pabB // ubiD // rcnR // radD // hslU // pldA // ydiJ // fumA // bepA // glpK // mazG // yigL // yfhL // accD // chbG // msrP // thrA // kdsB // umpH // pta // gltB // iap // bfr // hpt // dnaJ // amyA // wecA // pfkB // nudK // yobA // pepD // rlmA // cysS // sdhB // phoQ // sdaA // zntR // selO // otsB // pepN // nrdG
metabolic process	0.0011790688	pflB // lolB // proC // gpmM // sbcC // gadB // chaC // insK // murI // hfq // ribF // nagE // hrpA // speD // eptC // yfbR // cydD // avtA // intF // hslV // purL // cmk // mlc // hdhA // hmp // aceA // fdhD // fabF // katE // recQ // slyD // ribC // yidR // mnmE // hflX // clsC // gor // rna // dnaC // ubiB // rpe // mug // rfbB // tdh // idi // dapD // msrB // hchA // moaA // waaA // truC // ilvI // uvrA // polA // udp // nfsB // creC // ihfA // folE // gltA // prmC // sdhC // htpX // opgH // glsA // vsr // frmA // pdxH // aroE // leuS // dmsD // lrp // folC // argF // ubiC // betT // lrhA // nfo // degP // wecB // fadR // ycbZ // serC // aceK // efp // rpnC // gltX // gnd // folD // pyrC // rppH // ulaG // sdhA // queG // yeaK // waaP // tusE // xseA // maeA // diaA // recE // pgpA // gcvR // clsA // gyrB // folX // ileS // deoD // bcsG // cyuP // clpP // dacB // speA // sodA // pldB // talB // ackA // alaS // ldhA // psd // rlmM // cysZ // barA // anmK // bipA // dcuA // exoX // fhlA // folK // ratA // ghrB // lon // guaB // uvrD // miaA // dcuR // fabA // ygeQ // thyA // fbaA // ldtA // hldE // gpmA // betA // trhO // htpG // ltaE // pheA // gpsA // prc // pgsA // guaA // poxB // puuC // ndh // yceF // mnmC // hemG // tktB // metK // pdxI // dpiB // speG // dam // yhgF // yegX // rlmJ // hemW // ampG // accA // panE // clpX // hybO // nuoC // pykF // fbaB // nagB // mutY // mfd // nadR // prlC // rpsT // recA // srsR // rnm // yrdD // prmB // nagK // cmoA // aaeR // dhaR // yebK // pyrD // cydA // hsdR // panC // hyaC // icd // aroB // hemB // rraB // arcB // rsmD // glyA // dkgA // pabA // rhlB // plsB // pgi // gyrA // rsxC // lpoA // gloB // uvrC // metG // rsxA // tyrB // accC // tus // ubiG // clpA // ytfE // dcd // pykA // bolA // gmhA // trmA // glmU // gcd // rlmE // rssA // narX // roxA // proA // hda // pck // pepP // carB // lapB // gatZ // gcvA // ydgJ // rcsD // glyS // tusC // plsY // yeeY // valS // pdxA // pepQ // menA // intD // aroA // acnA // hemF // aspA // kdsD // gmhB // ubiE // galU // lipB // ddlA // nadK // lysS // rbn // tsaB // yjjU // prkB // mrdA // gntT // menI // wzzB // tyrS // ycdY // cyuA // caiB // cas1 // gshB // lsrK // bisC // dnaK // dcyD // rsmG // yjtD // rfaH // gshA // yeaD // yfdG // asd // sppA // ampH // nuoB // sbp // rlmD // rnb // opgG // upp // rsmF // recC // iclR // umpG // amn // bcsE // ulaR // ydfG // nadE // sra // aspC // cbl // nagZ // pinR // galR // pgm // dcp // ybeF // pgk // glgB // nagA // moeA // tpiA // pcnB // pheT // rsmC // serA // adhE // waaG // yrfG // cmoM // fabB // ldcC // rsmB // gdhA // gntU // hemC // nuoF // pabB // ubiD // dacD // glnS // pntB // yaeF // murB // csrA // waaF // ybdK // ybgC // radD // patA // hinT // recN // waaC // rlhA // pdxB // gapA // arnA // alaA // relA // prfA // hslU // pldA // trpS // evgS // aceB // ydiJ // fumA // bepA // glpK // mazG // opgD // gadW // yfhL // accD // chbG // msrP // thrA // mnmA // kdsB // rluE // umpH // pinQ // cyaA // yheT // lpxL // yajL // pta // ftsX // cysB // gltB // iap // ppx // cho // ridA // hpt // dacC // dnaJ // amyA // yhcB // wecA // pfkB // nudK // pepD // rlmA // cysS // sdhB // phoQ // sdaA // madA // mutS // otsA // zntR // apaG // selO // otsB // pepN // nrdG // bglX // sohB // truA // rpoN // epmA // acpP // proS
pyridine-containing compound metabolic process	0.0013006462	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM // pdxA // pdxB // pdxH // serC // pdxI // nadK // nadE // nadR // talB // tktB // rpe // gnd // pntB
Sugar Biosynthesis	0.0013006462	pgi // glmU // wecB // rfbB // tpiA // maeA // pck // gpmM // pgk // gapA // fbaB // fbaA // ybiV // yidA // yigL // pgm // galU // otsB // otsA // kdsD // kdsB // gmhA // gmhB // hldE
protein refolding	0.0013226367	slyD // yajL // hslO // cnoX // cbpA // clpB // dnaJ // groL // dnaK // hscA
glycolysis II (from fructose 6-phosphate)	0.0013226367	gpmA // ybiV // yidA // yigL // pfkB // fbaB // fbaA // tpiA // gapA // pgk // gpmM // pykF // pykA
purine ribonucleoside diphosphate catabolic process	0.001816749	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
glycolytic process	0.001816749	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
ADP catabolic process	0.001816749	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
ribonucleoside diphosphate catabolic process	0.001816749	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
superpathway of glycolysis and the Entner-Doudoroff pathway	0.002082542	pykF // pykA // gpmM // pgk // gapA // tpiA // fbaB // fbaA // pfkB // pgi // ybiV // yidA // yigL // gpmA // manZ // manY
phosphate-containing compound metabolic process	0.002323065	gpmM // ribF // yfbR // purL // cmk // fdhD // hflX // clsC // rpe // rfbB // idi // hchA // moaA // waaA // udp // creC // pdxH // serC // aceK // gnd // folD // pyrC // waaP // pgpA // clsA // pldB // talB // ackA // psd // barA // guaB // thyA // fbaA // hldE // gpmA // htpG // gpsA // pgsA // guaA // yceF // tktB // pdxI // dpiB // speG // accA // pykF // fbaB // nagB // nadR // nagK // pyrD // arcB // plsB // pgi // accC // dcd // pykA // gmhA // glmU // rssA // narX // carB // gatZ // rcsD // plsY // pdxA // gmhB // galU // nadK // upp // umpG // amn // nadE // pgk // moeA // tpiA // pntB // pdxB // gapA // arnA // relA // pldA // evgS // glpK // mazG // accD // kdsB // umpH // cyaA // lpxL // pta // hpt // pfkB // nudK // phoQ // nrdG // acpP
Fatty Acid and Lipid Biosynthesis	0.0024753425	acpP // fabA // fabB // psd // fabF // madA // accA // accD // plsB // gpsA // waaG // waaP // waaF // waaC // lpxL // waaA // kdsD // kdsB // clsC // pgpA // pgsA // clsA
hydrolase activity	0.0026210102	sbcC // hrpA // yfbR // cydD // pdeB // hslV // purL // pdeG // actS // recQ // mnmE // ycdX // hflX // rna // dnaC // mug // hchA // uvrA // polA // folE // htpX // glsA // macB // vsr // ypfH // leuS // nfo // degP // ycbZ // aceK // rpnC // folD // pyrC // rppH // ulaG // yeaK // ybhF // xseA // recE // pgpA // ileS // clpP // dacB // pldB // alaS // barA // bipA // exoX // yhhN // fhlA // lon // uvrD // ldtA // htpG // ybiV // rapA // prc // glnD // yceF // yegX // nudJ // clpX // nagB // mutY // mfd // yjiA // prlC // rflP // recA // rnm // dhaR // ycjX // hsdR // arcB // rhlB // lpoA // yheS // clpB // gloB // uvrC // clpA // dcd // hscA // rssA // pdeK // narX // sapD // pepP // ydiZ // valS // pepQ // abpA // potG // hxpB // gmhB // rbn // tsaB // yjjU // mrdA // groL // menI // cas1 // dnaK // mrp // sppA // ampH // rnb // recC // aphA // umpG // amn // nadE // nagZ // pinR // dcp // ppnN // glgB // nagA // yidA // yrfG // ychF // dacD // yaeF // ybgC // radD // ftsK // hinT // ycfP // tcyN // relA // hslU // pldA // lolD // bepA // mazG // yigL // chbG // umpH // znuC // pinQ // yheT // yajL // iap // ppx // cho // ridA // dacC // amyA // nudK // pepD // phoQ // mutS // zapE // otsB // dbpA // pepN // bglX // sohB // proS
ribonucleotide metabolic process	0.0034041535	ribF // umpH // umpG // udp // mazG // gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM // guaB // cyaA // relA // hpt // purL // guaA // amn // upp // pyrD // pyrC // carB
purine nucleoside diphosphate catabolic process	0.0034041535	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
nucleoside diphosphate catabolic process	0.0034041535	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
purine ribonucleotide catabolic process	0.0034041535	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
ADP metabolic process	0.0034041535	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
pyridine nucleotide catabolic process	0.0034041535	gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
phosphorus metabolic process	0.0035969915	gpmM // ribF // yfbR // purL // cmk // fdhD // hflX // clsC // rpe // rfbB // idi // hchA // moaA // waaA // udp // creC // pdxH // serC // aceK // gnd // folD // pyrC // waaP // pgpA // clsA // pldB // talB // ackA // psd // barA // guaB // thyA // fbaA // hldE // gpmA // htpG // gpsA // pgsA // guaA // yceF // tktB // pdxI // dpiB // speG // accA // pykF // fbaB // nagB // nadR // nagK // pyrD // arcB // plsB // pgi // accC // dcd // pykA // gmhA // glmU // rssA // narX // carB // gatZ // rcsD // plsY // pdxA // gmhB // galU // nadK // upp // umpG // amn // nadE // pgk // moeA // tpiA // pntB // pdxB // gapA // arnA // relA // pldA // evgS // glpK // mazG // accD // kdsB // umpH // cyaA // lpxL // pta // ppx // hpt // pfkB // nudK // phoQ // nrdG // acpP
biosynthetic process	0.004405613	proC // murI // ribF // speD // eptC // yfbR // cydD // avtA // purL // cmk // mlc // fdhD // fabF // ribC // hflX // clsC // dnaC // ubiB // rfbB // tdh // idi // dapD // hchA // moaA // waaA // ilvI // polA // udp // ihfA // folE // opgH // glsA // pdxH // aroE // leuS // folC // argF // ubiC // betT // lrhA // wecB // serC // efp // gltX // folD // pyrC // queG // waaP // maeA // pgpA // gcvR // clsA // gyrB // folX // ileS // bcsG // dacB // speA // ackA // alaS // psd // cysZ // bipA // fhlA // folK // guaB // dcuR // fabA // thyA // fbaA // ldtA // hldE // gpmA // betA // ltaE // pheA // gpsA // pgsA // guaA // hemG // metK // pdxI // yhgF // hemW // accA // panE // nagB // nadR // rpsT // recA // srsR // aaeR // dhaR // yebK // pyrD // panC // aroB // hemB // glyA // dkgA // pabA // plsB // pgi // gyrA // lpoA // metG // tyrB // accC // ubiG // dcd // bolA // gmhA // glmU // proA // pck // carB // gcvA // ydgJ // glyS // plsY // yeeY // valS // pdxA // menA // aroA // hemF // kdsD // gmhB // ubiE // galU // lipB // ddlA // nadK // lysS // tsaB // mrdA // menI // wzzB // tyrS // gshB // rfaH // gshA // yfdG // asd // opgG // upp // amn // bcsE // ulaR // nadE // sra // aspC // cbl // nagZ // galR // ybeF // pgk // glgB // moeA // tpiA // pheT // serA // adhE // waaG // fabB // gdhA // hemC // pabB // ubiD // dacD // glnS // murB // waaF // ybdK // radD // waaC // rlhA // pdxB // arnA // relA // alaA // prfA // trpS // opgD // gadW // accD // thrA // kdsB // cyaA // lpxL // pta // cysB // gltB // ridA // hpt // dacC // wecA // cysS // sdaA // madA // otsA // zntR // apaG // otsB // nrdG // rpoN // acpP // proS
pyruvate metabolic process	0.0045617204	gpmA // cyuA // alaA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM // ubiC // poxB // maeA
Generation of Precursor Metabolites and Energy	0.005118628	pta // ackA // acnA // gltA // aceA // aceB // maeA // nuoB // nuoC // nuoF // hybO // ndh // fbaA // accA // accD // accC // rpe // tktB // talB // gpmA // ybiV // yidA // yigL // pfkB // fbaB // tpiA // gapA // pgk // gpmM // pykF // pykA // pflB // grcA // adhE // ldhA // fumE // fumA // icd // cydA // pgi // manZ // manY // poxB // ridA // gnd // sdhA // sdhB // sdhC // caiB
nucleotide catabolic process	0.005118628	umpH // umpG // udp // mazG // gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
ribose phosphate metabolic process	0.0053587947	udp // upp // pyrD // pyrC // carB // ribF // cyaA // amn // hpt // purL // guaA // guaB // relA // umpH // umpG // mazG // gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM // nudK
nucleotide metabolic process	0.0053587947	gpmM // ribF // yfbR // purL // cmk // rpe // hchA // udp // gnd // folD // pyrC // talB // guaB // thyA // fbaA // gpmA // guaA // yceF // tktB // pykF // fbaB // nadR // pyrD // pgi // dcd // pykA // carB // nadK // upp // umpG // amn // nadE // pgk // tpiA // pntB // gapA // relA // mazG // umpH // cyaA // hpt // pfkB // nrdG
lrp	0.0053587947	ilvG // serA // gltB // alaA // avtA // leuE // alaE // ilvI // aroA // serC // lrp // osmY // tdh // malT // sdaA // osmC // adhE // lysP // ridA // aceB // aspA // cycA // lolC // lrhA // metK // pepD // potF // ppx // tyrP // uspE // ybgS // ybjS // patA // yjeM // acrZ // alaS // aphA // arcB // argT // aspC // bssS // cbl // chbG // clpP // cysB // dedA // dgcJ // dppA // dtpB // fumA // fxsA // gadB // gadW // gdhA // groL // groS // hpf // hspQ // katE // ldhA // lpxL // menA // mnmA // mutY // pabB // polA // prlF // radD // relA // rlmE // rpoN // sstT // upp // wecB // yaeQ // ybdG // ybeX // ybgA // ybjN // trhO // yceB // ychE // ydcL // ydgH // yebF // yfiB // yhdN // yibT // yqeG // ytjB // zntR
nicotinamide nucleotide metabolic process	0.0054441392	nadK // nadE // nadR // talB // tktB // rpe // gnd // pntB // gpmA // pfkB // gapA // pgi // pykF // pykA // tpiA // pgk // fbaA // fbaB // gpmM
